,Recording,accuracy,precisionRMS,precisionSD,validityPerc,,,,,,
1,Recording9,0.44,1.22,0.8,93,,,accuracy,precisionRMS,precisionSD,validityPerc
2,Recording10,0.49,1.61,1.1,92,,m,0.408701299,0.554805195,0.392727273,83.37662338
3,Recording11,0.2,0.26,0.19,84,,sd,0.154505584,0.299220964,0.203105083,12.45733663
4,Recording12,0.45,0.37,0.36,99,,,0.640459674,1.003636641,0.697384897,70.91928675
5,Recording13,0.22,0.42,0.28,92,,,,,,
6,Recording14,0.4,0.68,0.45,86,,,,,,
7,Recording15,0.56,0.54,0.5,94,,,,,,
8,Recording16,0.28,0.28,0.2,91,,,,,,
9,Recording17,0.14,0.31,0.23,93,,,,,,
10,Recording18,0.33,0.65,0.43,91,,,,,,
11,Recording19,0.31,0.6,0.41,90,,,,,,
12,Recording20,0.33,0.35,0.22,89,,,,,,
13,Recording21,0.29,0.48,0.34,94,,,,,,
14,Recording23,0.35,0.3,0.22,89,,,,,,
15,Recording24,0.5,0.51,0.39,89,,,,,,
16,Recording25,0.22,0.45,0.31,92,,,,,,
17,Recording26,0.44,0.65,0.45,69,,,,,,
18,Recording27,0.56,1,0.69,28,,,,,,
19,Recording28,0.51,0.84,0.59,91,,,,,,
20,Recording29,0.59,0.52,0.33,82,,,,,,
21,Recording30,0.41,0.3,0.22,81,,,,,,
22,Recording31,0.43,0.29,0.23,87,,,,,,
23,Recording33,0.63,0.52,0.37,71,,,,,,
24,Recording35,0.58,0.53,0.48,67,,,,,,
25,Recording36,0.34,0.35,0.28,85,,,,,,
26,Recording37,0.65,0.99,0.73,77,,,,,,
27,Recording38,0.38,0.4,0.34,86,,,,,,
28,Recording39,0.4,0.91,0.6,72,,,,,,
29,Recording40,0.52,0.63,0.44,62,,,,,,
30,Recording41,0.27,0.32,0.21,90,,,,,,
31,Recording42,0.37,0.31,0.2,89,,,,,,
32,Recording43,0.36,0.62,0.41,94,,,,,,
33,Recording44,0.22,0.3,0.21,98,,,,,,
34,Recording45,0.39,0.38,0.26,74,,,,,,
35,Recording46,0.34,0.31,0.23,91,,,,,,
36,Recording47,0.44,0.31,0.21,84,,,,,,
37,Recording48,0.39,0.33,0.23,79,,,,,,
38,Recording49,0.33,0.46,0.35,86,,,,,,
39,Recording50,0.14,0.46,0.28,99,,,,,,
40,Recording51,0.24,0.22,0.17,73,,,,,,
41,Recording52,0.33,0.36,0.27,93,,,,,,
42,Recording54,0.34,0.52,0.37,95,,,,,,
43,Recording55,0.45,0.32,0.24,68,,,,,,
44,Recording56,0.47,0.37,0.24,82,,,,,,
45,Recording57,0.25,0.63,0.41,97,,,,,,
46,Recording58,0.3,0.53,0.39,93,,,,,,
47,Recording59,0.42,0.51,0.35,85,,,,,,
48,Recording60,0.31,0.67,0.48,93,,,,,,
49,Recording61,0.6,1.28,0.81,81,,,,,,
50,Recording62,0.6,0.92,0.63,84,,,,,,
51,Recording63,0.31,0.47,0.42,66,,,,,,
52,Recording64,0.38,0.27,0.19,62,,,,,,
53,Recording65,0.39,0.4,0.28,95,,,,,,
54,Recording66,0.32,0.5,0.32,93,,,,,,
55,Recording67,0.5,0.77,0.58,74,,,,,,
56,Recording68,0.26,0.54,0.42,86,,,,,,
57,Recording69,0.35,0.39,0.28,82,,,,,,
58,Recording70,0.26,0.45,0.3,91,,,,,,
59,Recording71,0.31,0.67,0.49,79,,,,,,
60,Recording72,0.26,0.42,0.29,89,,,,,,
61,Recording73,0.65,0.29,0.22,85,,,,,,
62,Recording74,0.62,0.31,0.23,85,,,,,,
63,Recording75,0.67,0.36,0.25,86,,,,,,
64,Recording76,0.63,1.43,1.03,65,,,,,,
65,Recording77,0.37,0.44,0.31,67,,,,,,
66,Recording78,1.11,1.61,1.11,77,,,,,,
67,Recording79,0.28,0.57,0.42,95,,,,,,
68,Recording80,0.38,0.5,0.36,69,,,,,,
69,Recording81,0.43,0.45,0.3,82,,,,,,
70,Recording82,0.63,0.72,0.45,96,,,,,,
71,Recording83,0.63,0.99,0.7,91,,,,,,
72,Recording84,0.38,0.38,0.28,80,,,,,,
73,Recording85,0.49,0.64,0.42,89,,,,,,
74,Recording86,0.23,0.77,0.52,49,,,,,,
75,Recording87,0.26,0.54,0.42,58,,,,,,
76,Recording88,0.4,0.45,0.29,89,,,,,,
77,Recording89,0.46,0.3,0.23,96,,,,,,
